Title,Summary,Date
قیمت بنزین همراه با آزادسازی افزایش می‌یابد؟,برخی کارشناسان مصوبه دولت درباره آزادسازی واردات و توزیع بنزین سوپر با قیمت غیریارانه‌ای را پس از حذف سوخت یارانه‌ای هواپیما، گام دوم دولت در راستای آزادسازی قیمت یا اعلام نرخ سوم تحلیل می کنند،هر چند مسئولان رسماً نظری درباره این تحلیل ندارند.,1403/08/22
بنزین سوپر وارد می‌شود اما فقط برای خودروهای خاص,عضو کمیسیون اصل ۹۰ مجلس با بیان این‌که واردات بنزین سوپر برای افراد دارای خودروهای خاص است،گفت: انتظار افزایش یکباره قیمت بنزین را از دولت نداریم.,1403/08/22
فروش بنزین سوپر به قیمت آزاد تصویب شد,با مصوبه هیئت وزیران، واردات بنزین سوپر آزاد شد. بر اساس این مصوبه، اشخاص حقوقی مجاز هستند بنزین سوپر وارداتی را با قیمت غیریارانه‌ای توزیع کنند، البته این مصوبه هنوز وارد مرحله اجرایی نشده است.,1403/08/22
راهکار عجیب وزارت نفت برای کاهش قاچاق سوخت,با توجه به اختلاف شدید قیمت سوخت در داخل و خارج از کشور و قاچاق گسترده آن، دولت به منظور کاهش قاچاق سوخت، طرح «باک‌پر» را اجرا می‌کند. بر اساس این طرح، هزینه سوخت ناوگان خروجی از کشور بر مبنای نرخ تعادلی فرآورده‌ها و حجم باک پر وسیله نقلیه از آن‌ها هنگام خروج دریافت می‌شود.,1403/08/22
قیمت بنزین در ۱۴۰۴ گران می‌شود؟ + فیلم,سخنگوی دولت در نشست خبری خود گفت: بودجه ۱۴۰۴ بر مبنای افزایش قیمت بنزین تدوین نشده است، اما واقعیت این است که در بخش بنزین دچار ناترازی هستیم.,1403/08/22
واردات بنزین سوپر آزاد شد, با مصوبه هیئت وزیران، واردات بنزین سوپر آزاد شد.,1403/08/22
جدول قطع برق روز سه شنبه ۲۲ آبان ۱۴۰۳ در تهران و شهرستان‌ها ,در روز سه‌شنبه ۲۲ آبان ۱۴۰۳ اکثر نقاط کشور شاهد خاموشی‌ خواهد بود و این خاموشی از قبل برنامه‌ریزی شده و ساعت آن مشخص است.,1403/08/22
روش اطلاع از قطعی برق | از کجا بفهمیم برق چه ساعتی قطع می‌شود؟, خاموشی‌های برنامه‌ریزی‌شده برای کاهش مصرف انرژی آغاز شده و مشترکان می‌توانند جزئیات را از سامانه «برق من» پیگیری کنند.,1403/08/21
پزشکیان صرفجویی را از خودش شروع کرد,پزشکیان صرفه‌جویی برق را از جلسات دولت شروع کرد.,1403/08/21
افزایش قیمت سوخت در راه است؟,بنابر گزارش مرکز پژوهش‌های مجلس، علت تصمیم دولت برای قطعی برق، کاهش ذخایر گازوئیل و نفت‌کوره نیروگاه‌ها و افزایش ناترازی گاز اعلام شد.,1403/08/21
واکنش پزشکیان به قطعی برق؛ از نور پنجره‌ها برای روشنایی استفاده کنید!,رئیس جمهور دستور داد که لامپ‌های سالن خاموش شده و از نور پنجره‌ها برای روشنایی بیشتر استفاده شود و گفت: اگر قرار به صرفه جویی است باید از خود شروع کنیم.,1403/08/21
مدت خاموشی‌ها برای هر منطقه متفاوت است؟,پیرو برخی مطالب منتشره درباره عدم اعمال خاموشی در مناطق شمالی تهران و محدودیت‌های برق سراسر کشور باید گفت که خاموشی‌ها به صورت منظم و طبق برنامه در حال اجرا بوده و این موضوع ارتباطی با شمال شهر و یا جنوب شهر ندارد.,1403/08/21
شماره‌ اعلام قطعی برق / برای اطلاع از زمان قطع برق با چه شماره‌ای تماس بگیریم؟,روش‌های مختلفی برای اطلاع از زمان خاموشی و رفع خاموشی مناطق مختلف کشور معرفی شده که برقراری تماس با سامانه فوریت‌های برق از جمله این روش‌ها است.,1403/08/21
اطلاع از وضعیت خاموشی‌ها با مراجعه به سامانه‌ها,سال ۱۴۰۰ جداول زمانبندی خاموشی های زمستان منتشر و در اختیار مردم قرار می گرفت، اما اکنون مشترکان با مراجعه به سایت و سامانه برق می توانند از وضعیت خاموشی کسب اطلاع کنند.,1403/08/21
کمبود گاز و گازوئیل، علت اصلی قطعی برق / قاچاق گازوئیل، به قطع برق مردم می‌انجامد,مرکز پژوهش‌های مجلس شورای اسلامی در گزارشی علت تصمیم دولت برای قطعی برق را کاهش ذخایر گازوئیل و نفت‌کوره نیروگاه‌ها در ۶ ماهه اول ۱۴۰۳ و افزایش ناترازی گاز اعلام کرد. این در حالی است که به دلیل قیمت ۱۷۰ برابری گازوئیل در افغانستان نسبت به ایران، گازوئیل یارانه‌ای به کشور‌های همسایه قاچاق می‌شود و مردم با خاموشی برق، دست و پنجه نرم می‌کنند.,1403/08/21
قطعی برق در هر منطقه چند ساعت است؟,مدیرعامل شرکت توانیر گفت: طبق برنامه‌ریزی صورت گرفته ساعت قطع برق مشترکان خانگی بیش از دو ساعت نخواهد بود.,1403/08/21
دلیل قطعی برق در آستانه زمستان چیست؟, مرکز پژوهش‌های مجلس در گزارشی علت تصمیم دولت برای قطعی برق را کاهش ذخایر گازوئیل و نفت کوره نیروگاه‌ها و افزایش ناترازی گاز اعلام کرد. دولت پیش‌ از این مدعی شده بود، توقف سوخت مازوت ۳ نیروگاه دلیل قطعی برق است.,1403/08/21
قیمت نفت کوتاه آمد / هر بشکه برنت چند شد؟,قیمت هر بشکه نفت برنت دریای شمال امروز با ۱۹ سنت معادل ۰.۲۶ درصد کاهش به ۷۳ دلار و ۶۸ سنت رسید.,1403/08/21
اطلاعیه مهم شرکت گاز؛ گاز این مناطق فردا قطع می‌شود,شرکت گاز خوزستان در اطلاعیه‌ای از قطع گاز مناطقی از بهبهان خبر داد.,1403/08/21
یارانه انرژی ۱ میلیارد دلاری سوخت هواپیماها,کارشناس انرژی گفت: اصلاح یارانه سوخت هواپیما در بودجه ۱۴۰۴ گامی مهم در جهت اصلاح نظام یارانه انرژی در ایران است. با کاهش بار یارانه‌ها بر دوش دولت و ترویج توزیع عادلانه‌تر یارانه‌ها، دولت می‌تواند وجوه را به بخش‌های حساس‌تر هدایت کند و توسعه اقتصادی را ارتقا دهد. همچنین انتظار می‌رود این اصلاحات خطوط هوایی را تشویق کند تا کارآمدتر شوند و مصرف سوخت خود را کاهش دهند که منجر به صرفه‌جویی در هزینه و بهبود سودآوری شود.,1403/08/21
جدول قطع برق امروز ۲۱ آبان / ساعت ۱۵ تا ۱۷ برق کدام مناطق قطع می‌شود؟,جدول قطع برق دوشنبه ۲۱ آبان از ساعت ۱۵ تا ۱۷ منتشر شد.,1403/08/21
جزییات قطع برق امروز ۲۱ آبان / جدول قطع برق ساعت ۱۳ تا ۱۵,جدول قطع برق دوشنبه ۲۱ آبان از ساعت ۱۳ تا ۱۵ منتشر شد.,1403/08/21
قطع برق امروز ۲۱ آبان / ساعت ۱۱ تا ۱۳ برق کدام مناطق قطع است؟,جزییات قطع برق دوشنبه ۲۱ آبان از ساعت ۱۱ تا ۱۳ منتشر شد.,1403/08/21
جدول قطع برق دوشنبه ۲۱ آبان / ساعت ۹ تا ۱۱ کدام مناطق خاموش می‌شود؟,جدول قطع برق دوشنبه ۲۱ آبان از ساعت ۹ تا ۱۱ منتشر شد.,1403/08/21
جدول قطع برق دوشنبه ۲۱ آبان ۱۴۰۳ در استان تهران به تفکیک مناطق,برق مناطق مختلف استان تهران در روز دوشنبه ۲۱ آبان طی ۴ نوبت و طبق جدول خاموشی‌ها که توسط شرکت توزیع برق استان تهیه شده، قطع خواهد شد.,1403/08/20
زمستان سخت خاموشی‌ها / اصلاح نظام انرژی به جای خاموشی یا مازوت‌سوزی,دو روز گذشته دولت با اتخاذ یک تصمیم در سازمان حفاظت محیط زیست مقرر کرد از شنبه این هفته، سوخت دو واحد نیروگاهی شازند با گاز تامین شود و فعالیت ۲ واحد دیگر یعنی کرج و اصفهان کلا متوقف شوند و در حقیقت از چرخه تولید خارج شده تا با این اقدام از آلودگی محیط زیست جلوگیری کند. با این حال هنوز یک روز این این تصمیم نگذشته بود که دیروز خبر رسید که احتمال آغاز خاموشی‌های برنامه‌ریزی شده در کشور وجود دارد.,1403/08/20
زمان قطع برق پردیس منتشر شد + جدول آبان ۱۴۰۳,جدول خاموشی‌های مناطق مختلف استان تهران منتشر شد.,1403/08/20
