Title,Summary,Date
بازدید آقاجانلو از پروژه احداث آهن اسفنجی بیجار,رییس هیات عامل ایمیدرو روز چهارشنبه ۲۳ آبان ضمن بازدید از طرح‌های صنعتی استان کردستان در محل احداث کارخانه آهن اسفنجی بیجار حضور یافته و از روند پیشرفت این مگامدول بازدید نمود.,1403/08/23
اتصال شبکه میر روسیه و شتاب ایران به تقویت گردشگری و دلار زدایی منجر می‌شود,عبدالله مهاجردارابی، نایب‌رئیس اتاق مشترک بازرگانی ایران و روسیه گفت: اتصال میر و شتاب به طور کلی باعث تقویت گردشگری هم می‌شود و به شرایط فعلی پولی و بانکی ایران نیز کمک می‌کند.,1403/08/23
پشت پرده برگشت گوجه فرنگی ایران از عراق,معاون خدمات تجاری سازمان توسعه تجارت گفت: واقعیت این است که وزارت جهاد کشاورزی به طور ناگهانی و یک‌شبه صادرات گوجه‌فرنگی را ممنوع کرده است.,1403/08/23
پیشرفت ۲۰ درصدی طرح تولید نوار نقاله استیل کورد و منجید دار الشتر,مدیرعامل شرکت تولید مواد معدنی کانیار ساعی (کانیسا) از پیشرفت ۲۰ درصدی طرح تولید نوار نقاله استیل کورد و منجید دار الشتر خبر داد.,1403/08/23
جزئیات واردات آیفون‌های مسافری اعلام شد,معاون وزیر صمت گفت: بعد از اظهار اولیه آیفون های مسافری، چند روز آینده در سامانه جامع تجارت این امکان ایجاد می‌شود که با پرداخت عوارض گوشی‌ها ثبت سفارش شده و مورد استفاده قرار گیرند.,1403/08/23
امضای تفاهم‌نامه همکاری میان اتاق تهران و اتاق بازرگانی بین‌المللی پکن,در نشست هیات اعزامی اتاق بازرگانی تهران به چین با رئیس و مدیران ارشد اتاق بازرگانی بین‌المللی پکن چند پیشنهاد عملیاتی برای توسعه همکاری‌های دوجانبه از جمله حضور بنگاه‌های ایرانی عضو اتاق تهران در نمایشگاه‌های پکن به ویژه نمایشگاه های‌تک با مساعدت طرفین مطرح و مورد بررسی قرار گرفت. طرفین در پایان این دیدار یک تفاهم‌نامه همکاری نیز امضا کردند.,1403/08/22
کانماین، فرصتی برای جهش تولید در صنعت معدن ایران,نایب رئیس کمیسیون صنایع و معادن مجلس بیان کرد: برگزاری نمایشگاه کانماین می‌تواند انگیزه‌ای قوی برای فعالان بخش معدن باشد تا با استفاده از ظرفیت‌های موجود به توسعه‌ این صنعت کمک کنند.,1403/08/22
ارزش گمرکی گوشی‌های آیفون مسافری اعلام شد,گمرک ایران رسماً ارزش گمرکی گوشی‌های مسافری آیفون را منتشر کرد.,1403/08/22
عقبگرد ۶۰۰ میلیون دلاری صادرات فولاد ایران,انجمن تولیدکنندگان فولاد ایران آمار صادرات 7 ماهه سال 1403 زنجیره فولاد کشور را منتشر کرد.,1403/08/21
مدیران بومی‌سازی و توسعه تکنولوژی زنجیره فولاد گردهم‌آمدند,اعضای کمیته بومی‌سازی و توسعه تکنولوژی این انجمن امروز دوشنبه ۲۱ آبان‌ماه ۱۴۰۳ در شرکت معدنی و صنعتی گل‌گهر در سیرجان گردهم‌ آمدند.,1403/08/21
