Title,Summary,Date
خبرهای خوش از افزایش حقوق این گروه از کارگران,نخستین نشست شورای عالی کار در دولت چهاردهم با دستور کار بررسی پیش نویس آیین نامه حق دانستن و امتناع از کار‌های پر خطر و نیز بررسی نظام حقوق و دستمزد در معادن زغال سنگ به ریاست وزیر تعاون، کار و رفاه اجتماعی برگزارشد.,1403/08/23
قانون رتبه بندی معلمان کی اجرایی می‌شود,نماینده مردم ایذه و باغملک در مجلس گفت: وزارت آموزش و پرورش باید نیروهای نهضتی، پیش دبستانی، خرید خدمت و سرباز معلم را تعیین تکلیف و قانون رتبه‌بندی را اجرا کند.,1403/08/23
خبرهای مهم از ادغام یا انحلال برخی صندوق‌های بازنشستگی,این روزها برای بازنشستگان این نگرانی پیش آمده که حکم جدیدی که در لایحه بودجه درباره تادیه بدهی دولت به سازمان تامین اجتماعی آمده است به معنای ادغام یا انحلال برخی صندوق‌های بازنشستگی است.,1403/08/23
حذف صفر از پول ملی چه تاثیری در اقتصاد کشور می‌گذارد؟,رئیس کل اسبق بانک مرکزی با تصریح بر این موضوع که تورم باعث کاهش ارزش پول ملی می‌شود، اظهار کرد: حذف تعدادی صفر یا تغییر نسبت پول ملی به ارز کشورهای دیگر روی تورم اثری ندارد و از تورم اثر می‌پذیرد.,1403/08/23
خبرهای جدید از تغییر دهک‌ها و مبلغ یارانه,وزیرکار درباره احتمال تغییر در دهک یارانه‌بگیران افزود: دهک یارانه‌ها هر ساله بر اساس اطلاعات جدیدی که دریافت می‌شود، تغییر می‌کند.,1403/08/23
مبلغ حقوق بازنشستگان تامین اجتماعی تغییر کرد +جزئیات,رئیس کانون عالی بازنشستگان سازمان تأمین اجتماعی جزئیات همسان‌سازی حقوق بازنشستگان این سازمان را اعلام کرد.,1403/08/23
احکام جدید بازنشستگان مشمول متناسب‌‌سازی صادر شد + فیلم,احمد میدری وزیر کار گفت: متناسب سازی حقوق بازنشستگان از امروز آغاز و احکام جدید آنها صادر خواهد شد.,1403/08/23
شوک به بازنشستگان/ چرا فیش حقوق آبان بارگذاری نشد؟,در حالی که بازنشستگان کارگری در انتظار اجرای متناسب‌سازی هستند هنوز فیش‌های نهایی حقوق آبان بارگذاری نشده است.,1403/08/23
آغاز بیمه تکمیلی بازنشستگان تأمین اجتماعی از اول آذر/ سقف تعهدات اعلام شد,رئیس کانون عالی کارگران بازنشسته تأمین اجتماعی کشور از افزایش تعهدات در قرارداد جدید بیمه تکمیلی درمان بازنشستگان تأمین اجتماعی و تحت پوشش قرار گرفتن خدمات جدید خبر داد و گفت: بیمه تکمیلی بازنشستگان این سازمان از اول آذرماه آغاز می‌شود.,1403/08/23
کالابرگ الکترونیک دوباره شارژ می‌شود؟  ,طرح کالابرگ الکترونیکی که با هدف حمایت از اقشار کم‌درآمد و بهبود وضعیت معیشتی مردم طراحی شده بود، همچنان در مرحله آماده‌سازی زیرساخت‌ها قرار دارد.  ,1403/08/23
واریز حقوق بازنشستگان با تغییرات جدید + جزئیات و مبلغ واریزی,رئیس کانون عالی بازنشستگان سازمان تأمین اجتماعی جزئیات همسان‌سازی حقوق بازنشستگان این سازمان را اعلام کرد.,1403/08/23
خواسته چند ساله بازنشسته‌ها بالاخره محقق شد,رئیس کانون عالی بازنشستگان سازمان تأمین اجتماعی فرمول همسان‌سازی حقوق بازنشستگان این سازمان را اعلام کرد.,1403/08/23
واردات آیفون دوباره ممنوع می‌شود؟,اولین بار در سال ۱۳۹۹ با پیگیری بانک مرکزی با مدیریت همتی بحث ممنوعیت موبایل بالای ۳۰۰ دلار از جمله آیفون مطرح شد. یکی از دلایل اصلی بانک مرکزی که وزیر فعلی اقتصاد در راس آن قرار داشت ناترازی شدید ارزی کشور بود.,1403/08/22
برگزاری جلسه بعدی حراج سکه در این تاریخ,در جلسه شصت و هفتم حراج شمش طلا در مرکز مبادله ایران، ۸۹ کیلوگرم شمش به ارزش بیش از ۵۰۰ میلیارد تومان به فروش رسید و فردا نیز جلسه سی و چهارم حراج سکه طلا با عرضه سکه ضرب ۱۴۰۳ برگزار می‌شود.,1403/08/22
خبرهای خوش از واریز پاداش پایان خدمت فرهنگیان,پاداش ۷۶هزار معلم بازنشسته در انتظار اعتبار سازمان برنامه است.,1403/08/22
